Changes,AvgQuality
0,1307.851852
2,1643.148571
3,777.846
4,1400.898667
5,575.438
6,1474.126
7,2887.92
8,1713.89
10,2178.17275
11,369.539
12,2415.729
13,2922.236667
14,2973.192222
15,3422.74
16,2354.158111
17,2353.243333
18,2435.504
19,2639.943333
20,2398.922857
21,658.178
22,2287.5575
23,1751.17
24,1936.0965
25,1848.223333
26,1920.153333
27,2255.93
28,2524.9675
29,2626.505
30,2449.405
31,2761.88
32,1869.615
33,2996.96
34,2187.443333
35,2476.635
36,2708.651667
37,2525.2
38,2853.41
39,2353.2825
40,2888.49
41,1161.7
43,1826.895
44,2180.545
45,1173.93
46,1980.4
48,2900.21
50,2695.066667
51,1743.889333
52,2431.32
55,2649.97
56,1749.99
58,2839.11
59,2070.66
61,1754.635
64,1240.56
67,2784.58
68,1786.2
70,3285.35
73,1816.37
74,2204.195
77,2566.915
78,1719.531
79,2985.53
80,1902.27
81,2268.055
82,2868.67
83,797.829
86,1900.07
88,2923.41
90,1268.86
92,1048.36
93,2339.03
94,3353.75
95,2616.02
97,1088.72
102,2624.08
104,1008.71
105,2537.315
107,2311.05
108,2257.18
111,1355.65
112,1147.7
113,3092.23
115,2968.975
116,1493.572
119,2955.05
120,1209.95
121,2958.7
123,2547.2
126,1515.65
130,2913.18
131,2234
137,1952.09
139,1773.34
141,1672.47
142,1551.67
146,2719.58
148,1372.08
152,2134.87
162,1912.59
166,3334.56
173,1112.16
204,4115.37
234,3915.88
235,2580.9
339,1553.59
356,2972.17
475,838.338
476,2597.4
673,1621.05
736,1499.86
